2022-11-22 19:30:32.679569 file.txt OPEN
2022-11-22 19:30:32.679569 file.txt CLOSE
2022-11-22 19:30:43.705861 file.txt OPEN
2022-11-22 19:30:43.706938 file.txt CLOSE
2022-11-22 19:32:09.152885 file.txt OPEN
2022-11-22 19:32:09.153885 file.txt CLOSE
2022-11-22 19:32:32.783296 file.txt OPEN
2022-11-22 19:32:32.784297 file.txt CLOSE
2022-11-22 19:33:48.360087 file.txt OPEN
2022-11-22 19:33:48.361124 file.txt CLOSE
2022-11-22 19:34:04.708172 file.txt OPEN
2022-11-22 19:34:04.709171 file.txt CLOSE
2022-11-22 19:34:31.267812 file.txt OPEN
2022-11-22 19:34:31.268809 file.txt CLOSE
